region,birthplace,vote_2016,education,age_cat,birth_year,gender,household_income,hispanic,race,party_id_3,party_id_7,Z_defund_order,protest_support_blm,protest_support_brut,protest_support_dfnd,protest_support,protest_support_n,protest_support_blm_n,protest_support_blm_binary,protest_support_brut_n,protest_support_brut_binary,protest_support_dfnd_n,protest_support_dfnd_binary,protest_support_binary,gss_welfare,gss_ss,gss_enviro,gss_health,gss_education,gss_childcare,gss_science,gss_atp,gss_welfare_n,gss_ss_n,gss_enviro_n,gss_health_n,gss_education_n,gss_childcare_n,gss_science_n,gss_atp_n,police_spend,police_spend_n,police_matrix_violent_crime,police_matrix_property_crime,police_matrix_vice_crime,police_matrix_vehicle_stops,police_matrix_civil_order,police_matrix_prevent_crime,police_matrix_social_service,police_matrix_community_engage,survey
Northeast,The United States,Clinton,Bachelor's degree,NA,1952,Male,"$80,000 - $99,999",Not Hispanic,White,Independents,Independent,Defund First,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,About right,About right,Too little,About right,Too little,Don't know,Too little,Too little,0,0,1,0,1,NA,NA,1,Too little,1,Police,Police,Police,Police,Police,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,No vote,Some college,NA,1954,Female,"$80,000 - $99,999",Not Hispanic,White,Republicans,Weak Republican,Defund Last,Somewhat support,Somewhat support,Somewhat oppose,NA,NA,5,1,5,1,3,0,NA,About right,About right,Too little,About right,About right,About right,About right,About right,0,0,1,0,0,0,0,0,About right,0,Police,Police,Both,Police,Both,Social Services,Social Services,Social Services,YCLS July 13
West,The United States,No vote,High school diploma,18-23,2000,Female,"$19,999 or less",Not Hispanic,Black,Republicans,Lean Republican,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too much,Too much,Too much,Too much,Too much,Too little,Too much,About right,-1,-1,-1,-1,-1,1,1,0,About right,0,Social Services,Social Services,Both,Social Services,Police,Social Services,Police,Both,YCLS July 13
Midwest,The United States,Trump,High school diploma,18-23,1997,Male,"$35,000 - $49,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly support,Somewhat oppose,NA,NA,1,0,7,1,3,0,NA,Too much,Too little,Too little,About right,Too little,Too little,Too little,About right,-1,1,1,0,1,1,1,0,Too much,-1,Social Services,Social Services,Police,Both,Police,Police,Social Services,Both,YCLS July 13
Northeast,The United States,Other vote,Bachelor's degree,40-49,1975,Male,"$125,000 - $199,999",Not Hispanic,White,Independents,Independent,Defund Last,Strongly oppose,Strongly support,Strongly oppose,NA,NA,1,0,7,1,1,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Both,Police,Police,Both,Social Services,Police,Both,Both,YCLS July 13
South,The United States,Trump,Associate's degree,24-29,1991,Female,"$19,999 or less",Not Hispanic,White,Republicans,Lean Republican,Defund Last,Somewhat oppose,Somewhat oppose,Strongly oppose,NA,NA,3,0,3,0,1,0,NA,Too much,Too little,Too much,Too much,Too little,Too little,Too much,Too little,-1,1,-1,-1,1,1,1,1,Too little,1,Both,Police,Both,Police,Police,Police,Both,Both,YCLS July 13
Midwest,The United States,No vote,High school diploma,30-39,1989,Male,"$20,000 - $34,999",Not Hispanic,White,Independents,Independent,Defund First,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,About right,Too little,Too little,Don't know,About right,Too little,About right,Too little,0,1,1,NA,0,1,1,1,About right,0,Police,Police,Social Services,Both,Police,Police,Social Services,Both,YCLS July 13
South,The United States,Trump,Graduate degree,40-49,1978,Male,"$100,000 - $124,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Neither support nor oppose,Strongly support,Somewhat support,NA,NA,4,0,7,1,5,1,NA,About right,About right,About right,About right,About right,Too much,Too little,About right,0,0,0,0,0,-1,-1,0,Too little,1,Social Services,Social Services,Social Services,Police,Police,Social Services,Police,Social Services,YCLS July 13
Northeast,The United States,Clinton,No high school diploma,24-29,1995,Male,"$19,999 or less",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Support,NA,NA,7,1,7,1,6,1,NA,Too much,Too little,About right,Too little,Too little,Too little,About right,Too little,-1,1,0,1,1,1,1,1,Too much,-1,Police,Police,Police,Police,Social Services,Social Services,Police,Both,YCLS July 13
Midwest,The United States,Trump,High school diploma,24-29,1995,Female,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,-1,-1,-1,-1,-1,-1,-1,-1,About right,0,Both,Police,Both,Both,Social Services,Social Services,Both,Social Services,YCLS July 13
South,The United States,Trump,Graduate degree,40-49,1979,Female,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Strongly support,Strongly support,NA,NA,6,1,7,1,7,1,NA,Too much,Too much,Too much,About right,Too much,About right,About right,About right,-1,-1,-1,0,-1,0,0,0,Too much,-1,Both,Both,Police,Both,Both,Police,Police,Police,YCLS July 13
Northeast,The United States,Clinton,Bachelor's degree,18-23,1997,Female,"$200,000 and above",Mexican,Other,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,1,1,1,1,1,1,1,1,Too much,-1,Both,Police,Social Services,Police,Social Services,Both,Social Services,Both,YCLS July 13
South,The United States,Clinton,High school diploma,18-23,1999,Female,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund First,Somewhat support,Somewhat support,Support,NA,NA,5,1,5,1,6,1,NA,About right,About right,Too much,Too much,Too much,About right,About right,Too much,0,0,-1,-1,-1,0,0,-1,Too much,-1,Social Services,Police,Police,Social Services,Both,Social Services,Social Services,Both,YCLS July 13
South,Another country,No vote,Some college,50-59,1967,Female,"$65,000 - $79,999",Not Hispanic,White,Independents,Independent,Defund Last,Somewhat oppose,Somewhat oppose,Strongly oppose,NA,NA,3,0,3,0,1,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
Midwest,The United States,No vote,Some college,24-29,1992,Female,"$35,000 - $49,999",Not Hispanic,White,Republicans,Weak Republican,Defund First,Neither support nor oppose,Neither support nor oppose,Oppose,NA,NA,4,0,4,0,2,0,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,No vote,Some college,40-49,1979,Female,"$35,000 - $49,999",Not Hispanic,Black,Independents,Independent,Defund Last,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,No vote,High school diploma,30-39,1984,Female,"$19,999 or less",Mexican,Other,Independents,Independent,Defund Last,Strongly support,Strongly support,Strongly oppose,NA,NA,7,1,7,1,1,0,NA,Too much,Don't know,Too much,Too little,Too little,Don't know,Don't know,Too little,-1,NA,-1,1,1,NA,NA,1,Too little,1,Police,Police,Police,Police,Both,Both,Both,Both,YCLS July 13
South,The United States,Clinton,Bachelor's degree,24-29,1991,Female,"$20,000 - $34,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Support,NA,NA,7,1,7,1,6,1,NA,Too little,Too little,Too little,About right,Too little,Too much,About right,About right,1,1,1,0,1,-1,-1,0,About right,0,Both,Social Services,Both,Police,Both,Police,Social Services,Both,YCLS July 13
Midwest,The United States,No vote,Some college,40-49,1979,Male,"$65,000 - $79,999",Not Hispanic,White,Republicans,Lean Republican,Defund Last,Oppose,Somewhat oppose,Oppose,NA,NA,2,0,3,0,2,0,NA,Too much,Too little,Too little,Too little,Too little,Too much,Too much,Too little,-1,1,1,1,1,-1,-1,1,Too little,1,Police,Police,Police,Police,Police,Police,Social Services,Police,YCLS July 13
South,The United States,Clinton,High school diploma,24-29,1992,Female,"$19,999 or less",Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Neither support nor oppose,Neither support nor oppose,Somewhat support,NA,NA,4,0,4,0,5,1,NA,About right,Too little,Too little,Too little,Too much,About right,Too much,About right,0,1,1,1,-1,0,0,0,About right,0,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Graduate degree,30-39,1982,Male,"$80,000 - $99,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Support,Support,Somewhat support,NA,NA,6,1,6,1,5,1,NA,Too little,About right,About right,Too much,About right,Too little,About right,About right,1,0,0,-1,0,1,1,0,Too much,-1,Police,Police,Social Services,Social Services,Social Services,Police,Social Services,Social Services,YCLS July 13
South,The United States,Trump,Bachelor's degree,30-39,1980,Male,"$19,999 or less",Not Hispanic,Black,Republicans,Strong Republican,Defund First,Oppose,Strongly support,Strongly support,NA,NA,2,0,7,1,7,1,NA,Too little,Don't know,Too much,Too little,Too little,Don't know,About right,Too little,1,NA,-1,1,1,NA,NA,1,Too much,-1,Police,Police,Police,Police,Social Services,Police,Social Services,Both,YCLS July 13
Midwest,The United States,Clinton,Bachelor's degree,40-49,1978,Female,"$80,000 - $99,999",Not Hispanic,White,Democrats,Lean Democrat,Defund First,Strongly support,Strongly support,Neither support nor oppose,NA,NA,7,1,7,1,4,0,NA,Don't know,Too little,Too little,Too little,Too little,Don't know,Too little,Too little,NA,1,1,1,1,NA,NA,1,Don't know,NA,Police,Police,Both,Police,Police,Both,Both,Both,YCLS July 13
Northeast,The United States,Trump,Bachelor's degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too much,-1,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
Midwest,The United States,Trump,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Support,Strongly support,Strongly support,NA,NA,6,1,7,1,7,1,NA,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,1,0,0,1,1,1,1,1,Too little,1,Police,Police,Social Services,Both,Social Services,Social Services,Police,Both,YCLS July 13
South,The United States,Clinton,Bachelor's degree,40-49,1978,Female,"$50,000 - $64,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Neither support nor oppose,Somewhat oppose,Neither support nor oppose,NA,NA,4,0,3,0,4,0,NA,About right,About right,About right,Too much,About right,About right,Too much,About right,0,0,0,-1,0,0,0,0,Too much,-1,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Both,YCLS July 13
South,The United States,Clinton,Associate's degree,18-23,2001,Female,"$20,000 - $34,999",Mexican,Other,Democrats,Strong Democrat,Defund First,Somewhat oppose,Support,Neither support nor oppose,NA,NA,3,0,6,1,4,0,NA,About right,About right,About right,Too much,About right,About right,Too much,About right,0,0,0,-1,0,0,0,0,About right,0,Both,Both,Both,Both,Police,Social Services,Social Services,Both,YCLS July 13
South,Another country,No vote,Bachelor's degree,30-39,1984,Female,"$35,000 - $49,999",Not Hispanic,Black,Independents,Independent,Defund Last,Strongly support,Strongly support,Somewhat support,NA,NA,7,1,7,1,5,1,NA,Too much,Too little,About right,Too little,Too little,Too little,About right,Too little,-1,1,0,1,1,1,1,1,Don't know,NA,Police,Police,Police,Both,Police,Police,Social Services,Social Services,YCLS July 13
South,The United States,Clinton,Some college,24-29,1996,Female,"$19,999 or less",Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Neither support nor oppose,Neither support nor oppose,Somewhat support,NA,NA,4,0,4,0,5,1,NA,Too much,Don't know,Too little,About right,About right,Too little,About right,Too much,-1,NA,1,0,0,1,1,-1,About right,0,Police,Social Services,Social Services,Social Services,Both,Police,Police,Both,YCLS July 13
Midwest,The United States,Clinton,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Support,Support,NA,NA,7,1,6,1,6,1,NA,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,1,1,1,0,1,0,0,0,Too little,1,Police,Police,Both,Social Services,Both,Both,Social Services,Police,YCLS July 13
West,The United States,No vote,Some college,70+,1943,Male,"$19,999 or less",Not Hispanic,White,Democrats,Weak Democrat,Defund Last,Neither support nor oppose,Somewhat support,Neither support nor oppose,NA,NA,4,0,5,1,4,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Don't know,NA,Police,Police,Police,Police,Police,Police,Social Services,Both,YCLS July 13
South,The United States,Trump,Graduate degree,40-49,1979,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Support,Strongly support,Strongly support,NA,NA,6,1,7,1,7,1,NA,Too little,About right,Too much,About right,Too little,Too little,Too little,About right,1,0,-1,0,1,1,1,0,Too little,1,Police,Social Services,Police,Social Services,Police,Social Services,Social Services,Police,YCLS July 13
Northeast,The United States,Clinton,Bachelor's degree,30-39,1986,Female,"$80,000 - $99,999",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Support,Support,Support,NA,NA,6,1,6,1,6,1,NA,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,-1,1,1,1,1,1,1,1,Too much,-1,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,Trump,Bachelor's degree,40-49,1979,Male,"$100,000 - $124,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Strongly support,Strongly support,NA,NA,6,1,7,1,7,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Social Services,Both,Both,Both,Both,Both,YCLS July 13
Northeast,The United States,Trump,Some college,30-39,1981,Male,"$100,000 - $124,999",Not Hispanic,White,Republicans,Weak Republican,Defund First,Strongly oppose,Strongly oppose,Strongly support,NA,NA,1,0,1,0,7,1,NA,Too much,About right,About right,Too little,Too little,Too much,Too little,Too much,-1,0,0,1,1,-1,-1,-1,Too little,1,Police,Police,Social Services,Police,Social Services,Police,Social Services,Social Services,YCLS July 13
South,The United States,No vote,Bachelor's degree,40-49,1973,Female,"$35,000 - $49,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,About right,Too little,Too much,Too little,Too little,Too little,About right,Too little,0,1,-1,1,1,1,1,1,Too much,-1,Both,Police,Social Services,Police,Police,Both,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Bachelor's degree,30-39,1987,Female,"$80,000 - $99,999",Not Hispanic,White,Independents,Independent,Defund First,Neither support nor oppose,Oppose,Oppose,NA,NA,4,0,2,0,2,0,NA,Too little,Too little,About right,Too little,About right,Too little,Too little,Too little,1,1,0,1,0,1,1,1,Too little,1,Police,Police,Police,Police,Both,Both,Both,Police,YCLS July 13
Northeast,The United States,Trump,High school diploma,40-49,1972,Female,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Neither support nor oppose,Strongly oppose,Strongly oppose,NA,NA,4,0,1,0,1,0,NA,Don't know,Too little,Too little,Too little,Don't know,Too much,Too little,Too little,NA,1,1,1,NA,-1,-1,1,Too little,1,Both,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
South,The United States,Trump,Graduate degree,30-39,1986,Female,"$65,000 - $79,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Somewhat support,Somewhat support,Somewhat support,NA,NA,5,1,5,1,5,1,NA,About right,Too much,About right,About right,Too much,About right,About right,About right,0,-1,0,0,-1,0,0,0,About right,0,Social Services,Police,Social Services,Both,Social Services,Social Services,Both,Police,YCLS July 13
South,The United States,No vote,Bachelor's degree,18-23,2000,Male,"$19,999 or less",Not Hispanic,Black,Republicans,Strong Republican,Defund Last,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,Too much,Too much,About right,About right,About right,About right,Too much,Too much,-1,-1,0,0,0,0,0,-1,About right,0,Social Services,Police,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly oppose,Strongly oppose,NA,NA,7,1,1,0,1,0,NA,About right,Too much,Too much,Too little,Too much,About right,About right,Too little,0,-1,-1,1,-1,0,0,1,Too little,1,Police,Police,Police,Police,Social Services,Social Services,Social Services,Police,YCLS July 13
Midwest,The United States,Clinton,High school diploma,18-23,2002,Male,"$19,999 or less",Not Hispanic,Black,Democrats,Weak Democrat,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,About right,About right,Too much,About right,Too little,About right,About right,Too little,0,0,-1,0,1,0,0,1,Too much,-1,Police,Both,Both,Both,Police,Both,Social Services,Social Services,YCLS July 13
South,The United States,Clinton,Bachelor's degree,30-39,1982,Female,"$125,000 - $199,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,1,1,1,1,1,0,0,1,Too much,-1,Police,Police,Social Services,Police,Police,Police,Social Services,Both,YCLS July 13
Midwest,The United States,Clinton,Some college,30-39,1988,Female,"$19,999 or less",Not Hispanic,White,Independents,Independent,Defund Last,Somewhat support,Neither support nor oppose,Neither support nor oppose,NA,NA,5,1,4,0,4,0,NA,Too little,Too little,Too much,Too little,Too much,Too much,Too little,About right,1,1,-1,1,-1,-1,-1,0,About right,0,Police,Both,Police,Police,Police,Police,Police,Police,YCLS July 13
Northeast,The United States,Trump,Associate's degree,18-23,1995,Female,"$50,000 - $64,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Neither support nor oppose,Somewhat support,Neither support nor oppose,NA,NA,4,0,5,1,4,0,NA,About right,About right,About right,About right,About right,About right,Too much,Too much,0,0,0,0,0,0,0,-1,About right,0,Both,Social Services,Social Services,Both,Social Services,Police,Social Services,Police,YCLS July 13
West,The United States,Other vote,Bachelor's degree,30-39,1989,Female,"$20,000 - $34,999",Mexican,Other,Democrats,Strong Democrat,Defund Last,Support,Support,Neither support nor oppose,NA,NA,6,1,6,1,4,0,NA,About right,Don't know,About right,Too much,About right,Too little,Too much,About right,0,NA,0,-1,0,1,1,0,About right,0,Both,Police,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
Northeast,The United States,Clinton,Graduate degree,70+,1945,Female,"$80,000 - $99,999",Not Hispanic,White,Republicans,Lean Republican,Defund Last,Neither support nor oppose,Oppose,Somewhat oppose,NA,NA,4,0,2,0,3,0,NA,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,1,0,1,0,1,1,1,1,About right,0,Police,Police,Police,Police,Both,Police,Both,Both,YCLS July 13
South,The United States,No vote,Some college,30-39,1986,Female,"$20,000 - $34,999",Not Hispanic,Black,Independents,Independent,Defund First,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,Social Services,Both,Both,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
South,The United States,Trump,Bachelor's degree,40-49,1978,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly support,Support,NA,NA,7,1,7,1,6,1,NA,About right,Too little,About right,About right,Too little,Too little,About right,Too little,0,1,0,0,1,1,1,1,Too little,1,Both,Police,Both,Both,Social Services,Social Services,Both,Social Services,YCLS July 13
West,The United States,Trump,Bachelor's degree,18-23,1996,Male,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Somewhat support,Somewhat support,Somewhat support,NA,NA,5,1,5,1,5,1,NA,About right,About right,About right,Too much,About right,Too much,Too much,About right,0,0,0,-1,0,-1,-1,0,About right,0,Social Services,Social Services,Police,Social Services,Social Services,Social Services,Social Services,Social Services,YCLS July 13
South,The United States,Clinton,Bachelor's degree,24-29,1993,Male,"$80,000 - $99,999",Not Hispanic,White,Republicans,Weak Republican,Defund Last,Oppose,Somewhat oppose,Oppose,NA,NA,2,0,3,0,2,0,NA,Don't know,Don't know,Too little,About right,About right,Too much,About right,Too much,NA,NA,1,0,0,-1,-1,-1,About right,0,Police,Police,Police,Police,Police,Both,Both,Social Services,YCLS July 13
South,The United States,Trump,Bachelor's degree,30-39,2001,Male,"$20,000 - $34,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Somewhat support,Somewhat oppose,Support,NA,NA,5,1,3,0,6,1,NA,About right,About right,About right,Too much,Too much,Too much,Too much,Too little,0,0,0,-1,-1,-1,-1,1,About right,0,Social Services,Social Services,Police,Police,Social Services,Both,Both,Social Services,YCLS July 13
South,The United States,Clinton,Bachelor's degree,30-39,1988,Female,"$80,000 - $99,999",Mexican,Black,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
Northeast,The United States,Clinton,Some college,18-23,1998,Male,"$19,999 or less",Mexican,Other,Independents,Independent,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,0,1,1,1,1,1,1,1,Too little,1,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
South,The United States,No vote,No high school diploma,18-23,2000,Male,"$19,999 or less",Not Hispanic,Other,Independents,Independent,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,About right,About right,Too little,About right,Too little,Too much,Too little,1,0,0,1,0,1,1,1,Too much,-1,Police,Police,Social Services,Social Services,Both,Police,Social Services,Social Services,YCLS July 13
Midwest,The United States,Clinton,Associate's degree,18-23,1998,Female,"$200,000 and above",Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Oppose,Support,Neither support nor oppose,NA,NA,2,0,6,1,4,0,NA,Too little,Don't know,Too much,Too little,Too much,About right,Too much,Too much,1,NA,-1,1,-1,0,0,-1,About right,0,Both,Police,Social Services,Police,Social Services,Both,Police,Both,YCLS July 13
South,The United States,Clinton,High school diploma,30-39,1986,Female,"$19,999 or less",Not Hispanic,Other,Democrats,Lean Democrat,Defund First,Neither support nor oppose,Somewhat oppose,Strongly oppose,NA,NA,4,0,3,0,1,0,NA,Too much,Too little,Too much,Too much,Too much,Too little,About right,Don't know,-1,1,-1,-1,-1,1,1,NA,Too little,1,Both,Police,Social Services,Social Services,Police,Both,Police,Social Services,YCLS July 13
West,The United States,Trump,Associate's degree,NA,1957,Female,"$19,999 or less",Not Hispanic,White,Republicans,Weak Republican,Defund First,Oppose,Somewhat support,Strongly oppose,NA,NA,2,0,5,1,1,0,NA,About right,Too little,About right,Too little,Too little,Don't know,About right,About right,0,1,0,1,1,NA,NA,0,Don't know,NA,Police,Police,Police,Police,Both,Police,Both,Both,YCLS July 13
West,The United States,Clinton,Bachelor's degree,30-39,1980,Female,"$19,999 or less",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too much,Don't know,Too little,About right,Don't know,Too little,Too little,Too little,-1,NA,1,0,NA,1,1,1,Too little,1,Both,Social Services,Social Services,Social Services,Both,Social Services,Police,Both,YCLS July 13
Midwest,The United States,Trump,Bachelor's degree,24-29,1994,Male,"$200,000 and above",Not Hispanic,White,Republicans,Lean Republican,Defund Last,Strongly support,Support,Somewhat support,NA,NA,7,1,6,1,5,1,NA,About right,Too much,Too much,About right,About right,About right,About right,About right,0,-1,-1,0,0,0,0,0,About right,0,Social Services,Police,Social Services,Both,Both,Social Services,Both,Police,YCLS July 13
South,The United States,No vote,Graduate degree,24-29,1986,Female,"$19,999 or less",Mexican,Other,Democrats,Strong Democrat,Defund First,Somewhat oppose,Oppose,Somewhat support,NA,NA,3,0,2,0,5,1,NA,Don't know,Don't know,About right,About right,About right,Too much,Too much,About right,NA,NA,0,0,0,-1,-1,0,Too much,-1,Police,Social Services,Social Services,Police,Police,Police,Both,Both,YCLS July 13
Northeast,The United States,Trump,Graduate degree,40-49,1976,Male,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Neither support nor oppose,Support,Support,NA,NA,4,0,6,1,6,1,NA,About right,Too much,Too little,About right,Don't know,About right,Too little,Don't know,0,-1,1,0,NA,0,0,NA,About right,0,Social Services,Social Services,Police,Police,Both,Social Services,Social Services,Both,YCLS July 13
Midwest,The United States,Clinton,Graduate degree,50-59,1967,Female,"$125,000 - $199,999",Not Hispanic,White,Democrats,Weak Democrat,Defund Last,Strongly support,Strongly support,Somewhat oppose,NA,NA,7,1,7,1,3,0,NA,About right,About right,Too much,Too little,Too little,About right,About right,Too little,0,0,-1,1,1,0,0,1,About right,0,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
Northeast,Another country,No vote,Graduate degree,18-23,1999,Male,Unanswered,Not Hispanic,White,Republicans,Strong Republican,Defund Last,Somewhat oppose,Somewhat oppose,Somewhat support,NA,NA,3,0,3,0,5,1,NA,Too much,Too little,Too much,Don't know,About right,Too much,Don't know,Too little,-1,1,-1,NA,0,-1,-1,1,About right,0,Social Services,Social Services,Police,Social Services,Police,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Graduate degree,30-39,1983,Female,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Somewhat support,Strongly support,NA,NA,6,1,5,1,7,1,NA,Too much,Too much,About right,About right,Too much,Too little,Too little,About right,-1,-1,0,0,-1,1,1,0,Too much,-1,Police,Police,Social Services,Police,Police,Police,Social Services,Social Services,YCLS July 13
South,The United States,Clinton,High school diploma,18-23,2001,Female,Unanswered,Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Support,Strongly oppose,Strongly support,NA,NA,6,1,1,0,7,1,NA,About right,About right,Too little,About right,Too little,Too much,Too much,Too much,0,0,1,0,1,-1,-1,-1,Too much,-1,Both,Both,Police,Both,Both,Both,Both,Social Services,YCLS July 13
Midwest,The United States,Trump,Associate's degree,18-23,2000,Female,"$50,000 - $64,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Oppose,Neither support nor oppose,Oppose,NA,NA,2,0,4,0,2,0,NA,Don't know,Too much,Don't know,Don't know,About right,Too much,About right,About right,NA,-1,NA,NA,0,-1,-1,0,Too little,1,Social Services,Social Services,Police,Social Services,Social Services,Social Services,Police,Social Services,YCLS July 13
Northeast,The United States,Other vote,Bachelor's degree,30-39,1990,Female,"$200,000 and above",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Somewhat support,Somewhat support,Somewhat support,NA,NA,5,1,5,1,5,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Police,Both,Social Services,Social Services,Both,Social Services,Social Services,Both,YCLS July 13
